CIGAF_ID,Site.Name,Site.Description,Niche.Category,Aquatic.Niche,Species,Latitude,Longitude,Citation.Number,Year.Collected,Month.Collected,Letter.Month,Day.Collected,Country,ISO.code,Complete_date,Date,Simp_date,Hemisphere,Year.of.Publication,DOI,Citation,Province,Strain.Number,Full.Month,Host.common.name,Host_family,Host.species,N,Note,name,phylum,class,order,family,genus,min_temp,max_temp,ave_temp,prec_avg,Eco_name,Biome_name,Realm
877,24,Unnamed tributary of R. Manso Superior,Lotic,tributary,Smittium esteparum,-41.20166667,-71.82666667,46,1996,11,Nov,17,Argentina,ARG,17-11-1996,01-11-1996,1996-Nov,Southern Hemisphere,1999,https://doi.org/10.2307/3761637,"Lichtwardt, R., Ferrington, L., & Lastra, C. 1999",Rio Negro,NA,November,Nonbiting midges ,Chironomidae,NA,NA,NA,2557986,Zygomycota,Kickxellomycetes,Harpellales,Legeriomycetaceae,Smittium,0.765031278,12.77208328,6.76855728,75.27537537,Valdivian temperate forests,Temperate Broadleaf & Mixed Forests,Neotropic
878,28,"Swamp in woods, Boca Cerrada",Lentic,swamp,Smittium esteparum,-34.78333333,-58.01166667,46,1996,11,Nov,6,Argentina,ARG,6-11-1996,01-11-1996,1996-Nov,Southern Hemisphere,1999,https://doi.org/10.2307/3761637,"Lichtwardt, R., Ferrington, L., & Lastra, C. 1999",Buenos Aires,"ARG-D-28,
ARG-10-8F,
ARG-10-4F",November,Nonbiting midges ,Chironomidae,NA,NA,NA,2557986,Zygomycota,Kickxellomycetes,Harpellales,Legeriomycetaceae,Smittium,14.87093735,25.31083298,20.09088516,98.94786072,NA,NA,NA
879,10,Arroyo Rodeo,Lotic,stream,Smittium megazygosporum,-42.81333333,-71.11666667,46,1996,11,Nov,6,Argentina,ARG,6-11-1996,01-11-1996,1996-Nov,Southern Hemisphere,1999,https://doi.org/10.2307/3761637,"Lichtwardt, R., Ferrington, L., & Lastra, C. 1999",Chubut,NA,November,Nonbiting midges ,Chironomidae,Cricotopus sp.,NA,NA,2558011,Zygomycota,Kickxellomycetes,Harpellales,Legeriomycetaceae,Smittium,3.760579824,18.16514969,10.96286476,20.56869888,Patagonian steppe,"Temperate Grasslands, Savannas & Shrublands",Neotropic
880,4,Arroyo Gutierrez,Lotic,stream,Smittium megazygosporum,-41.13333333,-71.58333333,46,1996,11,Nov,2,Argentina,ARG,2-11-1996,01-11-1996,1996-Nov,Southern Hemisphere,1999,https://doi.org/10.2307/3761637,"Lichtwardt, R., Ferrington, L., & Lastra, C. 1999",Rio Negro,NA,November,Nonbiting midges ,Chironomidae,Cricotopus sp.,NA,NA,2558011,Zygomycota,Kickxellomycetes,Harpellales,Legeriomycetaceae,Smittium,0.69964236,13.087327,6.893484682,54.95618439,Valdivian temperate forests,Temperate Broadleaf & Mixed Forests,Neotropic
881,12,Arroyo Lepa,Lotic,stream,Smittium tronadorium,-42.61333333,-71.07833333,46,1996,11,Nov,6,Argentina,ARG,6-11-1996,01-11-1996,1996-Nov,Southern Hemisphere,1999,https://doi.org/10.2307/3761637,"Lichtwardt, R., Ferrington, L., & Lastra, C. 1999",Chubut,NA,November,Nonbiting midges ,Chironomidae,Cricotopus sp.,NA,NA,2557976,Zygomycota,Kickxellomycetes,Harpellales,Legeriomycetaceae,Smittium,3.814264059,18.58874512,11.20150459,19.24228477,Patagonian steppe,"Temperate Grasslands, Savannas & Shrublands",Neotropic
882,17,"Unamed small stream, trib of Rio Traful",Lotic,stream,Smittium tronadorium,-40.71666667,-71.1,46,1996,11,Nov,12,Argentina,ARG,12-11-1996,01-11-1996,1996-Nov,Southern Hemisphere,1999,https://doi.org/10.2307/3761637,"Lichtwardt, R., Ferrington, L., & Lastra, C. 1999",Neuquen,NA,November,Nonbiting midges ,Chironomidae,Diamesinae sp.,NA,NA,2557976,Zygomycota,Kickxellomycetes,Harpellales,Legeriomycetaceae,Smittium,4.048266411,18.30817032,11.17821836,39.41654587,Patagonian steppe,"Temperate Grasslands, Savannas & Shrublands",Neotropic
883,19,Arroyo Futa Liu,Lotic,stream,Smittium tronadorium,-40.365,-71.31333333,46,1996,11,Nov,12,Argentina,ARG,12-11-1996,01-11-1996,1996-Nov,Southern Hemisphere,1999,https://doi.org/10.2307/3761637,"Lichtwardt, R., Ferrington, L., & Lastra, C. 1999",Neuquen,NA,November,Nonbiting midges ,Chironomidae,Diamesinae sp.,NA,NA,2557976,Zygomycota,Kickxellomycetes,Harpellales,Legeriomycetaceae,Smittium,3.390222311,16.8654747,10.12784851,55.78730011,Valdivian temperate forests,Temperate Broadleaf & Mixed Forests,Neotropic
884,24,Unnamed tributary of R. Manso Superior,Lotic,tributary,Smittium tronadorium,-41.20166667,-71.82666667,46,1996,11,Nov,17,Argentina,ARG,17-11-1996,01-11-1996,1996-Nov,Southern Hemisphere,1999,https://doi.org/10.2307/3761637,"Lichtwardt, R., Ferrington, L., & Lastra, C. 1999",Rio Negro,"ARG-24-5,
ARG-24-2F,
",November,Nonbiting midges ,Chironomidae,Paraheptagyia sp.,NA,NA,2557976,Zygomycota,Kickxellomycetes,Harpellales,Legeriomycetaceae,Smittium,0.765031278,12.77208328,6.76855728,75.27537537,Valdivian temperate forests,Temperate Broadleaf & Mixed Forests,Neotropic
885,10,Arroyo Rodeo ,Lotic,stream,Stachylina minima,-42.81333333,-71.11666667,46,1996,11,Nov,6,Argentina,ARG,6-11-1996,01-11-1996,1996-Nov,Southern Hemisphere,1999,https://doi.org/10.2307/3761637,"Lichtwardt, R., Ferrington, L., & Lastra, C. 1999",Chubut,NA,November,Nonbiting midges ,Chironomidae,Thienemaniella sp.,NA,NA,2557938,Zygomycota,Kickxellomycetes,Harpellales,Harpellaceae,Stachylina,3.760579824,18.16514969,10.96286476,20.56869888,Patagonian steppe,"Temperate Grasslands, Savannas & Shrublands",Neotropic
886,12,Arroyo Lepa ,Lotic,stream,Stachylina minima,-42.61333333,-71.07833333,46,1996,11,Nov,6,Argentina,ARG,6-11-1996,01-11-1996,1996-Nov,Southern Hemisphere,1999,https://doi.org/10.2307/3761637,"Lichtwardt, R., Ferrington, L., & Lastra, C. 1999",Chubut,NA,November,Nonbiting midges ,Chironomidae,Thienemaniella sp.,NA,NA,2557938,Zygomycota,Kickxellomycetes,Harpellales,Harpellaceae,Stachylina,3.814264059,18.58874512,11.20150459,19.24228477,Patagonian steppe,"Temperate Grasslands, Savannas & Shrublands",Neotropic
887,31,"Swamp in wooded area, Boca Cerrada at Punta Lara",Lentic,swamp,Stachylina platensis,-34.78333333,-58.01166667,46,1996,11,Nov,24,Argentina,ARG,24-11-1996,01-11-1996,1996-Nov,Southern Hemisphere,1999,https://doi.org/10.2307/3761637,"Lichtwardt, R., Ferrington, L., & Lastra, C. 1999",Buenos Aires,ARG-31-1 ,November,Nonbiting midges ,Chironomidae,Chironomus sp.,NA,NA,2557947,Zygomycota,Kickxellomycetes,Harpellales,Harpellaceae,Stachylina,14.87093735,25.31083298,20.09088516,98.94786072,NA,NA,NA
888,18,Arroyo Cordoba Grande,Lotic,stream,Stachylinoides arctata,-40.51333333,-71.20333333,46,1996,11,Nov,12,Argentina,ARG,12-11-1996,01-11-1996,1996-Nov,Southern Hemisphere,1999,https://doi.org/10.2307/3761637,"Lichtwardt, R., Ferrington, L., & Lastra, C. 1999",Neuquen,ARG-18-3F,November,Nonbiting midges ,Chironomidae,NA,NA,NA,2557913,Zygomycota,Kickxellomycetes,Harpellales,Harpellaceae,Stachylinoides,3.482826471,17.42663574,10.45473111,45.75003815,Valdivian temperate forests,Temperate Broadleaf & Mixed Forests,Neotropic
889,4,Arroyo Gutierrez,Lotic,stream,Stachylinoides arctata,-41.13333333,-71.58333333,46,1996,11,Nov,2,Argentina,ARG,2-11-1996,01-11-1996,1996-Nov,Southern Hemisphere,1999,https://doi.org/10.2307/3761637,"Lichtwardt, R., Ferrington, L., & Lastra, C. 1999",Rio Negro,NA,November,Nonbiting midges ,Chironomidae,NA,NA,NA,2557913,Zygomycota,Kickxellomycetes,Harpellales,Harpellaceae,Stachylinoides,0.69964236,13.087327,6.893484682,54.95618439,Valdivian temperate forests,Temperate Broadleaf & Mixed Forests,Neotropic
890,NA,Buenos Aires Province,NA,NA,Zancudomyces culisetae,NA,NA,46,1995,7,Jul,10,Argentina,ARG,10-7-1995,01-7-1995,1995-Jul,Southern Hemisphere,1999,https://doi.org/10.2307/3761637,"Lichtwardt, R., Ferrington, L., & Lastra, C. 1999",Buenos Aires,ARSEF 5203,July,Mosquitos,Culicidae,"Culex dolosus, Psorophora ferox",NA,NA,8386765,Zygomycota,Kickxellomycetes,Harpellales,Legeriomycetaceae,Zancudomyces,NA,NA,NA,NA,NA,NA,NA
891,NA,Buenos Aires Province,NA,NA,Zancudomyces culisetae,NA,NA,46,1996,6,Jun,26,Argentina,ARG,26-6-1996,01-6-1996,1996-Jun,Southern Hemisphere,1999,https://doi.org/10.2307/3761637,"Lichtwardt, R., Ferrington, L., & Lastra, C. 1999",Buenos Aires,LPS 500,June,Mosquitos,Culicidae,"Culex dolosus, Psorophora ferox",NA,NA,8386765,Zygomycota,Kickxellomycetes,Harpellales,Legeriomycetaceae,Zancudomyces,NA,NA,NA,NA,NA,NA,NA
892,NA,"Stream sites thoughout Kansas, the Ozark plateau in Missouri and Arkansas, and Indiana ",Lotic,stream,Capniomyces stellatus,NA,NA,47,NA,NA,NA,NA,USA,USA,NA,NA,NA,Northern Hemisphere,1993,https://doi.org/10.2307/3760499,"Lichtwardt, R., Huss, M., & Williams, M. 1993",NA,NA,NA,Stoneflies,Capniidae,Allocapnia sp.,NA,Collections made during the winter months of 1989-1990 and 1990-1991,2557967,Zygomycota,Kickxellomycetes,Harpellales,Legeriomycetaceae,Capniomyces,NA,NA,NA,NA,NA,NA,NA
893,NA,"Stream sites thoughout Kansas, the Ozark plateau in Missouri and Arkansas, and Indiana ",Lotic,stream,Ejectosporus spica,NA,NA,47,NA,NA,NA,NA,USA,USA,NA,NA,NA,Northern Hemisphere,1993,https://doi.org/10.2307/3760499,"Lichtwardt, R., Huss, M., & Williams, M. 1993",NA,NA,NA,Stoneflies,Capniidae,Allocapnia sp.,NA,Collections made during the winter months of 1989-1990 and 1990-1992,2558131,Zygomycota,Kickxellomycetes,Harpellales,Legeriomycetaceae,Ejectosporus,NA,NA,NA,NA,NA,NA,NA
894,NA,"Stream sites thoughout Kansas, the Ozark plateau in Missouri and Arkansas, and Indiana ",Lotic,stream,Ejectosporus spica,NA,NA,47,NA,NA,NA,NA,USA,USA,NA,NA,NA,Northern Hemisphere,1993,https://doi.org/10.2307/3760499,"Lichtwardt, R., Huss, M., & Williams, M. 1993",NA,NA,NA,Stoneflies,Capniidae,Allocapnia sp.,NA,Collections made during the winter months of 1989-1990 and 1990-1992,2558131,Zygomycota,Kickxellomycetes,Harpellales,Legeriomycetaceae,Ejectosporus,NA,NA,NA,NA,NA,NA,NA
895,NA,"Stream sites thoughout Kansas, the Ozark plateau in Missouri and Arkansas, and Indiana ",Lotic,stream,Genistelloides hibernus,NA,NA,47,NA,NA,NA,NA,USA,USA,NA,NA,NA,Northern Hemisphere,1993,https://doi.org/10.2307/3760499,"Lichtwardt, R., Huss, M., & Williams, M. 1993",NA,NA,NA,Stoneflies,Capniidae,Allocapnia sp.,NA,Collections made during the winter months of 1989-1990 and 1990-1995,2558121,Zygomycota,Kickxellomycetes,Harpellales,Legeriomycetaceae,Genistelloides,NA,NA,NA,NA,NA,NA,NA
896,NA,"Stream sites thoughout Kansas, the Ozark plateau in Missouri and Arkansas, and Indiana ",Lotic,stream,Orphella heiemalis,NA,NA,47,NA,NA,NA,NA,USA,USA,NA,NA,NA,Northern Hemisphere,1993,https://doi.org/10.2307/3760499,"Lichtwardt, R., Huss, M., & Williams, M. 1993",NA,NA,NA,Stoneflies,Capniidae,Allocapnia sp.,NA,Collections made during the winter months of 1989-1990 and 1990-1993,NA,Zygomycota,Kickxellomycetes,Orphellales,Orphellaceae,Orphella,NA,NA,NA,NA,NA,NA,NA
897,NA,"Stream sites thoughout Kansas, the Ozark plateau in Missouri and Arkansas, and Indiana ",Lotic,stream,Ejectosporus spica,NA,NA,47,NA,NA,NA,NA,USA,USA,NA,NA,NA,Northern Hemisphere,1993,https://doi.org/10.2307/3760499,"Lichtwardt, R., Huss, M., & Williams, M. 1993",NA,NA,NA,Stoneflies,Capniidae,Allocapnia sp.,NA,"Collections made during the winter months of 1989-1990 and 1990-1994. Published as Simuliomyces, recorded here by its accepted genus, Ejectosporus",2558131,Zygomycota,Kickxellomycetes,Harpellales,Legeriomycetaceae,Ejectosporus,NA,NA,NA,NA,NA,NA,NA
898,65,Dique La Angostura  ,NA,dike,Genistellospora homothallica,-26.93,-65.705,48,1998,11,Nov,13,Argentina,ARG,13-11-1998,01-11-1998,1998-Nov,Southern Hemisphere,2000,https://doi.org/10.1080/00275514.2000.12061164,"Lichtwardt, R., Lastra, C., Mazzucchelli, M. 2000",NA,NA,November,Blackflies,Simuliidae,"Simulium lahillei, Simulium romanai, Simulium wolffhuegeli, Simulium huayrayacu",NA,Multiple hosts provided - this entry may include specimens from all or some of these hosts. ,2558100,Zygomycota,Kickxellomycetes,Harpellales,Legeriomycetaceae,Genistellospora,11.74749947,25.85238647,18.79994297,45.04811096,Southern Andean Yungas,Tropical & Subtropical Moist Broadleaf Forests,Neotropic
899,66,Rio Leser   ,Lotic,river,Genistellospora homothallica,-24.7,-65.466667,48,1998,11,Nov,16,Argentina,ARG,16-11-1998,01-11-1998,1998-Nov,Southern Hemisphere,2000,https://doi.org/10.1080/00275514.2000.12061164,"Lichtwardt, R., Lastra, C., Mazzucchelli, M. 2000",NA,NA,November,Blackflies,Simuliidae,"Simulium lahillei, Simulium romanai, Simulium wolffhuegeli, Simulium huayrayacu",NA,Multiple hosts provided - this entry may include specimens from all or some of these hosts. ,2558100,Zygomycota,Kickxellomycetes,Harpellales,Legeriomycetaceae,Genistellospora,13.57148266,24.73555946,19.15352106,60.64294052,Dry Chaco,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Neotropic
900,71,Rio Grande in Jujuy ,Lotic,river,Genistellospora homothallica,-24.18,-65.283333,48,1998,11,Nov,19,Argentina,ARG,19-11-1998,01-11-1998,1998-Nov,Southern Hemisphere,2000,https://doi.org/10.1080/00275514.2000.12061164,"Lichtwardt, R., Lastra, C., Mazzucchelli, M. 2000",NA,NA,November,Blackflies,Simuliidae,"Simulium lahillei, Simulium romanai, Simulium wolffhuegeli, Simulium huayrayacu",NA,Multiple hosts provided - this entry may include specimens from all or some of these hosts. ,2558100,Zygomycota,Kickxellomycetes,Harpellales,Legeriomycetaceae,Genistellospora,14.64183331,26.25068092,20.44625711,85.26117706,Southern Andean Yungas,Tropical & Subtropical Moist Broadleaf Forests,Neotropic
901,74,Rio Yala   ,Lotic,river,Genistellospora homothallica,-24.12,-65.7,48,1998,11,Nov,20,Argentina,ARG,20-11-1998,01-11-1998,1998-Nov,Southern Hemisphere,2000,https://doi.org/10.1080/00275514.2000.12061164,"Lichtwardt, R., Lastra, C., Mazzucchelli, M. 2000",NA,NA,November,Blackflies,Simuliidae,"Simulium lahillei, Simulium romanai, Simulium wolffhuegeli, Simulium huayrayacu",NA,Multiple hosts provided - this entry may include specimens from all or some of these hosts. ,2558100,Zygomycota,Kickxellomycetes,Harpellales,Legeriomycetaceae,Genistellospora,2.015388966,16.20201302,9.108700991,15.49306297,Central Andean puna,Montane Grasslands & Shrublands,Neotropic
902,75,Tributary of Rio Yala ,Lotic,tributary,Genistellospora homothallica,-24.11666667,-65.466667,48,1998,11,Nov,20,Argentina,ARG,20-11-1998,01-11-1998,1998-Nov,Southern Hemisphere,2000,https://doi.org/10.1080/00275514.2000.12061164,"Lichtwardt, R., Lastra, C., Mazzucchelli, M. 2000",NA,NA,November,Blackflies,Simuliidae,"Simulium lahillei, Simulium romanai, Simulium wolffhuegeli, Simulium huayrayacu",NA,Multiple hosts provided - this entry may include specimens from all or some of these hosts. ,2558100,Zygomycota,Kickxellomycetes,Harpellales,Legeriomycetaceae,Genistellospora,10.65185165,22.82965279,16.74075222,40.07982635,Central Andean puna,Montane Grasslands & Shrublands,Neotropic
903,76,Arroyo de Ia Laguna El Comedero,Lotic,stream,Genistellospora homothallica,-24.12166667,-65.283333,48,1998,11,Nov,20,Argentina,ARG,20-11-1998,01-11-1998,1998-Nov,Southern Hemisphere,2000,https://doi.org/10.1080/00275514.2000.12061164,"Lichtwardt, R., Lastra, C., Mazzucchelli, M. 2000",NA,NA,November,Blackflies,Simuliidae,"Simulium lahillei, Simulium romanai, Simulium wolffhuegeli, Simulium huayrayacu",NA,Multiple hosts provided - this entry may include specimens from all or some of these hosts. ,2558100,Zygomycota,Kickxellomycetes,Harpellales,Legeriomycetaceae,Genistellospora,13.48031425,24.73729134,19.1088028,66.11540222,Southern Andean Yungas,Tropical & Subtropical Moist Broadleaf Forests,Neotropic
904,60,Rio Los Sosa  ,Lotic,river,Harpella meridianalis,-27.08333333,-65.7,48,1998,11,Nov,13,Argentina,ARG,13-11-1998,01-11-1998,1998-Nov,Southern Hemisphere,2000,https://doi.org/10.1080/00275514.2000.12061164,"Lichtwardt, R., Lastra, C., Mazzucchelli, M. 2000",NA,NA,November,Blackflies,Simuliidae,"Simulium lahillei, Simulium romanai, Simulium huayrayacu, Simulium dinelli",NA,Multiple hosts provided - this entry may include specimens from all or some of these hosts. ,5469188,Zygomycota,Kickxellomycetes,Harpellales,Harpellaceae,Harpella,14.62849998,27.16469955,20.89659977,82.87498474,Southern Andean Yungas,Tropical & Subtropical Moist Broadleaf Forests,Neotropic
905,61,La Heladera (waterfalls)   ,Lotic,falls,Harpella meridianalis,-27.02833333,-65.466667,48,1998,11,Nov,13,Argentina,ARG,13-11-1998,01-11-1998,1998-Nov,Southern Hemisphere,2000,https://doi.org/10.1080/00275514.2000.12061164,"Lichtwardt, R., Lastra, C., Mazzucchelli, M. 2000",NA,NA,November,Blackflies,Simuliidae,"Simulium lahillei, Simulium romanai, Simulium huayrayacu, Simulium dinelli",NA,Multiple hosts provided - this entry may include specimens from all or some of these hosts. ,5469188,Zygomycota,Kickxellomycetes,Harpellales,Harpellaceae,Harpella,17.43264961,29.68288803,23.55776882,80.81684113,Southern Andean Yungas,Tropical & Subtropical Moist Broadleaf Forests,Neotropic
906,62,Arroyo Azucena   ,Lotic,stream,Harpella meridianalis,-27.01166667,-65.283333,48,1998,11,Nov,13,Argentina,ARG,13-11-1998,01-11-1998,1998-Nov,Southern Hemisphere,2000,https://doi.org/10.1080/00275514.2000.12061164,"Lichtwardt, R., Lastra, C., Mazzucchelli, M. 2000",NA,NA,November,Blackflies,Simuliidae,"Simulium lahillei, Simulium romanai, Simulium huayrayacu, Simulium dinelli",NA,Multiple hosts provided - this entry may include specimens from all or some of these hosts. ,5469188,Zygomycota,Kickxellomycetes,Harpellales,Harpellaceae,Harpella,17.38646317,30.1251812,23.75582218,78.53981781,Dry Chaco,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Neotropic
907,63,Rio Los Sosa  ,Lotic,river,Harpella meridianalis,-26.96333333,-65.7,48,1998,11,Nov,13,Argentina,ARG,13-11-1998,01-11-1998,1998-Nov,Southern Hemisphere,2000,https://doi.org/10.1080/00275514.2000.12061164,"Lichtwardt, R., Lastra, C., Mazzucchelli, M. 2000",NA,NA,November,Blackflies,Simuliidae,"Simulium lahillei, Simulium romanai, Simulium huayrayacu, Simulium dinelli",NA,Multiple hosts provided - this entry may include specimens from all or some of these hosts. ,5469188,Zygomycota,Kickxellomycetes,Harpellales,Harpellaceae,Harpella,10.37316704,23.78048897,17.076828,39.63845444,Southern Andean Yungas,Tropical & Subtropical Moist Broadleaf Forests,Neotropic
908,65,Dique La Angostura  ,NA,dike,Harpella meridianalis,-26.93,-65.466667,48,1998,11,Nov,13,Argentina,ARG,13-11-1998,01-11-1998,1998-Nov,Southern Hemisphere,2000,https://doi.org/10.1080/00275514.2000.12061164,"Lichtwardt, R., Lastra, C., Mazzucchelli, M. 2000",NA,NA,November,Blackflies,Simuliidae,"Simulium lahillei, Simulium romanai, Simulium huayrayacu, Simulium dinelli",NA,Multiple hosts provided - this entry may include specimens from all or some of these hosts. ,5469188,Zygomycota,Kickxellomycetes,Harpellales,Harpellaceae,Harpella,16.76161194,28.6087265,22.68516922,83.40261078,Southern Andean Yungas,Tropical & Subtropical Moist Broadleaf Forests,Neotropic
909,66,Rio Leser   ,Lotic,river,Harpella meridianalis,-24.7,-65.283333,48,1998,11,Nov,16,Argentina,ARG,16-11-1998,01-11-1998,1998-Nov,Southern Hemisphere,2000,https://doi.org/10.1080/00275514.2000.12061164,"Lichtwardt, R., Lastra, C., Mazzucchelli, M. 2000",NA,NA,November,Blackflies,Simuliidae,"Simulium lahillei, Simulium romanai, Simulium huayrayacu, Simulium dinelli",NA,Multiple hosts provided - this entry may include specimens from all or some of these hosts. ,5469188,Zygomycota,Kickxellomycetes,Harpellales,Harpellaceae,Harpella,15.37705898,26.34739876,20.86222887,64.03408051,Southern Andean Yungas,Tropical & Subtropical Moist Broadleaf Forests,Neotropic
910,74,Rio Yala   ,Lotic,river,Harpella meridianalis,-24.12,-65.7,48,1998,11,Nov,20,Argentina,ARG,20-11-1998,01-11-1998,1998-Nov,Southern Hemisphere,2000,https://doi.org/10.1080/00275514.2000.12061164,"Lichtwardt, R., Lastra, C., Mazzucchelli, M. 2000",NA,NA,November,Blackflies,Simuliidae,"Simulium lahillei, Simulium romanai, Simulium huayrayacu, Simulium dinelli",NA,Multiple hosts provided - this entry may include specimens from all or some of these hosts. ,5469188,Zygomycota,Kickxellomycetes,Harpellales,Harpellaceae,Harpella,2.015388966,16.20201302,9.108700991,15.49306297,Central Andean puna,Montane Grasslands & Shrublands,Neotropic
911,75,Tributary of Rio Yala ,Lotic,tributary,Harpella meridianalis,-24.11666667,-65.466667,48,1998,11,Nov,20,Argentina,ARG,20-11-1998,01-11-1998,1998-Nov,Southern Hemisphere,2000,https://doi.org/10.1080/00275514.2000.12061164,"Lichtwardt, R., Lastra, C., Mazzucchelli, M. 2000",NA,NA,November,Blackflies,Simuliidae,"Simulium lahillei, Simulium romanai, Simulium huayrayacu, Simulium dinelli",NA,Multiple hosts provided - this entry may include specimens from all or some of these hosts. ,5469188,Zygomycota,Kickxellomycetes,Harpellales,Harpellaceae,Harpella,10.65185165,22.82965279,16.74075222,40.07982635,Central Andean puna,Montane Grasslands & Shrublands,Neotropic
912,76,Arroyo de Ia Laguna El Comedero,Lotic,stream,Harpella meridianalis,-24.12166667,-65.283333,48,1998,11,Nov,20,Argentina,ARG,20-11-1998,01-11-1998,1998-Nov,Southern Hemisphere,2000,https://doi.org/10.1080/00275514.2000.12061164,"Lichtwardt, R., Lastra, C., Mazzucchelli, M. 2000",NA,NA,November,Blackflies,Simuliidae,"Simulium lahillei, Simulium romanai, Simulium huayrayacu, Simulium dinelli",NA,Multiple hosts provided - this entry may include specimens from all or some of these hosts. ,5469188,Zygomycota,Kickxellomycetes,Harpellales,Harpellaceae,Harpella,13.48031425,24.73729134,19.1088028,66.11540222,Southern Andean Yungas,Tropical & Subtropical Moist Broadleaf Forests,Neotropic
913,77,Arroyo La Horqueta   ,Lotic,stream,Harpella meridianalis,-24.12666667,-65.7,48,1998,11,Nov,20,Argentina,ARG,20-11-1998,01-11-1998,1998-Nov,Southern Hemisphere,2000,https://doi.org/10.1080/00275514.2000.12061164,"Lichtwardt, R., Lastra, C., Mazzucchelli, M. 2000",NA,NA,November,Blackflies,Simuliidae,"Simulium lahillei, Simulium romanai, Simulium huayrayacu, Simulium dinelli",NA,Multiple hosts provided - this entry may include specimens from all or some of these hosts. ,5469188,Zygomycota,Kickxellomycetes,Harpellales,Harpellaceae,Harpella,2.334444284,16.72548485,9.529964566,14.48499489,Central Andean puna,Montane Grasslands & Shrublands,Neotropic
914,78,Termas de Reyes  ,Lotic,hotspring,Harpella meridianalis,-24.17,-65.466667,48,1998,11,Nov,20,Argentina,ARG,20-11-1998,01-11-1998,1998-Nov,Southern Hemisphere,2000,https://doi.org/10.1080/00275514.2000.12061164,"Lichtwardt, R., Lastra, C., Mazzucchelli, M. 2000",NA,NA,November,Blackflies,Simuliidae,"Simulium lahillei, Simulium romanai, Simulium huayrayacu, Simulium dinelli",NA,Multiple hosts provided - this entry may include specimens from all or some of these hosts. ,5469188,Zygomycota,Kickxellomycetes,Harpellales,Harpellaceae,Harpella,11.40566635,23.44581985,17.4257431,46.63271713,Central Andean puna,Montane Grasslands & Shrublands,Neotropic
915,79,Rio Guerrero   ,Lotic,river,Harpella meridianalis,-24.205,-65.283333,48,1998,11,Nov,20,Argentina,ARG,20-11-1998,01-11-1998,1998-Nov,Southern Hemisphere,2000,https://doi.org/10.1080/00275514.2000.12061164,"Lichtwardt, R., Lastra, C., Mazzucchelli, M. 2000",NA,NA,November,Blackflies,Simuliidae,"Simulium lahillei, Simulium romanai, Simulium huayrayacu, Simulium dinelli",NA,Multiple hosts provided - this entry may include specimens from all or some of these hosts. ,5469188,Zygomycota,Kickxellomycetes,Harpellales,Harpellaceae,Harpella,14.64183331,26.25068092,20.44625711,85.26117706,Southern Andean Yungas,Tropical & Subtropical Moist Broadleaf Forests,Neotropic
916,53,Rio San Javier  ,Lotic,river,Harpella tica,-26.75333333,-65.383333,48,1998,11,Nov,10,Argentina,ARG,10-11-1998,01-11-1998,1998-Nov,Southern Hemisphere,2000,https://doi.org/10.1080/00275514.2000.12061164,"Lichtwardt, R., Lastra, C., Mazzucchelli, M. 2000",NA,NA,November,Blackflies,Simuliidae,"Simulium exiguum, Simulium romanai, Simulium wolffhuegeli, Simulium lahillei",NA,Multiple hosts provided - this entry may include specimens from all or some of these hosts. ,5250271,Zygomycota,Kickxellomycetes,Harpellales,Harpellaceae,Harpella,15.69901848,27.95017624,21.82459736,92.71086884,Southern Andean Yungas,Tropical & Subtropical Moist Broadleaf Forests,Neotropic
917,66,Rio Leser   ,Lotic,river,Harpella tica,-24.7,-65.383333,48,1998,11,Nov,16,Argentina,ARG,16-11-1998,01-11-1998,1998-Nov,Southern Hemisphere,2000,https://doi.org/10.1080/00275514.2000.12061164,"Lichtwardt, R., Lastra, C., Mazzucchelli, M. 2000",NA,NA,November,Blackflies,Simuliidae,"Simulium exiguum, Simulium romanai, Simulium wolffhuegeli, Simulium lahillei",NA,Multiple hosts provided - this entry may include specimens from all or some of these hosts. ,5250271,Zygomycota,Kickxellomycetes,Harpellales,Harpellaceae,Harpella,14.55691338,25.65629578,20.10660458,66.71041107,Dry Chaco,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Neotropic
918,74,Rio Yala   ,Lotic,river,Harpella tica,-24.12,-65.383333,48,1998,11,Nov,20,Argentina,ARG,20-11-1998,01-11-1998,1998-Nov,Southern Hemisphere,2000,https://doi.org/10.1080/00275514.2000.12061164,"Lichtwardt, R., Lastra, C., Mazzucchelli, M. 2000",NA,NA,November,Blackflies,Simuliidae,"Simulium exiguum, Simulium romanai, Simulium wolffhuegeli, Simulium lahillei",NA,Multiple hosts provided - this entry may include specimens from all or some of these hosts. ,5250271,Zygomycota,Kickxellomycetes,Harpellales,Harpellaceae,Harpella,13.32803726,24.62070847,18.97437286,62.80018234,Southern Andean Yungas,Tropical & Subtropical Moist Broadleaf Forests,Neotropic
